OBJECTID,state,phone,intake_prompt,hotline_prompt,latitude,longitude,type_facility,service,category_code,category_name,service_code
72,MA,978-737-7272,,,42.5588042,-71.1368634,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
73,MA,781-838-6757,Intakes,,42.4955957,-71.1236289,substance abuse,Methadone maintenance,TC,Type of Care,MM
74,MA,617-427-1000,,,42.332571,-71.092825,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
75,MA,508-207-9800,,,41.674167,-70.98532,substance abuse,Use methadone/buprenorphine for pain management or emergency dosing,TC,Type of Care,PAIN
76,MA,617-825-9660,,,42.289384,-71.071349,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
77,MA,617-445-1123 x308,,,42.3267926,-71.075081,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
78,MA,617-247-1001,,,42.3337245,-71.0726407,substance abuse,Methadone detoxification,TC,Type of Care,DM
79,MA,617-287-8000 x8325,,,42.3119206,-71.0686823,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
80,MA,617-318-6480,,,42.3329172,-71.07011,substance abuse,Methadone maintenance,TC,Type of Care,MM
81,MA,508-742-4400,,,42.058483,-71.010301,substance abuse,Methadone detoxification,TC,Type of Care,DM
82,MA,617-288-3230,Intakes,,42.304428,-71.059972,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
83,MA,617-724-5600,Intakes,,42.361737,-71.067068,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
84,MA,781-344-0102 x112,,,42.0823932,-71.0203486,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
85,MA,508-583-0493,,,42.10090014,-71.02127688,substance abuse,Use methadone/buprenorphine for pain management or emergency dosing,TC,Type of Care,PAIN
86,MA,617-643-4699,,,42.364169,-71.063062,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
87,MA,617-371-3030 x3085,Intakes,,42.363831,-71.0595,substance abuse,Methadone maintenance,TC,Type of Care,MM
88,MA,508-584-9210,,,42.057098,-71.0095974,substance abuse,Methadone detoxification,TC,Type of Care,DM
89,MA,508-408-6190,,,42.057098,-71.0095974,substance abuse,Methadone maintenance,TC,Type of Care,MM
90,MA,617-268-5000,,,42.332957,-71.053771,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
91,MA,508-638-6000,,,42.0578704,-71.0093689,substance abuse,Use methadone/buprenorphine for pain management or emergency dosing,TC,Type of Care,PAIN
92,MA,617-268-7124,,,42.336084,-71.044376,substance abuse,Use methadone/buprenorphine for pain management or emergency dosing,TC,Type of Care,PAIN
93,MA,781-388-6200,,,42.4038921,-71.0489154,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
94,MA,617-912-7500,,,42.3748178,-71.0380175,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
95,MA,617-934-1136,,,42.2645669,-71.0179181,substance abuse,Methadone maintenance,TC,Type of Care,MM
96,MA,774-628-1000,,,41.652688,-70.924652,substance abuse,Methadone maintenance,TC,Type of Care,MM
97,MA,508-717-0525,Intakes,,41.651957,-70.924519,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
98,MA,508-979-1122,,,41.6527859,-70.9214833,substance abuse,Methadone clients only,EXCL,Exclusive Services,MO
99,MA,508-999-3126,,,41.6184603,-70.9192719,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
100,MA,617-479-0102,,,42.247634,-71.001744,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
101,MA,978-373-4985,,,42.8145703,-71.1044405,substance abuse,Methadone maintenance,TC,Type of Care,MM
102,MA,617-889-8779,,,42.3962296,-71.023305,substance abuse,Methadone maintenance,TC,Type of Care,MM
103,MA,914-574-9583,,,42.246795,-70.976531,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
104,MA,978-420-1156,,,42.7648887,-71.0447859,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
105,MA,781-812-1643,,,42.2005221,-70.9409978,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
106,MA,844-875-7667,,,42.4532823,-70.9588175,substance abuse,Methadone maintenance,TC,Type of Care,MM
107,MA,978-535-9190,,,42.5410893,-70.9872271,substance abuse,Methadone maintenance,TC,Type of Care,MM
108,MA,978-739-7664,,,42.5866809,-70.9767743,substance abuse,Methadone maintenance,TC,Type of Care,MM
109,MA,781-233-1095,,,42.492776,-70.95645,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
110,MA,781-581-9270,,,42.4644229,-70.940269,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
111,MA,978-774-6820,,,42.549295,-70.945688,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
112,MA,781-871-6550 x22,,,42.1584065,-70.8595483,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
113,MA,508-295-7990,,,41.7558371,-70.6462334,substance abuse,Methadone maintenance,TC,Type of Care,MM
114,MA,508-830-1234,,,41.95739786,-70.66676274,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
115,MA,508-693-7900 x310,Intakes,,41.4197856,-70.5927861,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
116,MA,774-247-4939,,,41.7456191,-70.6131202,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
117,MA,978-283-0296 x201,,,42.6252131,-70.6806526,substance abuse,Methadone,TC,Type of Care,METH
118,MA,508-224-7701 x2420,,,41.8862435,-70.5381939,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
119,MA,508-224-7701 x2436,,,41.887157,-70.537288,substance abuse,Use methadone/buprenorphine for pain management or emergency dosing,TC,Type of Care,PAIN
120,MA,508-862-9929,,,41.6578658,-70.3301903,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
121,MA,508-398-5155 x2925,,,41.6866751,-70.2121712,substance abuse,Methadone maintenance,TC,Type of Care,MM
